"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CBX5.3",9.60856450428229e-50,-0.501561414526333,0.119,0.214,1.92171290085646e-46,"4","CBX5"
"HIST1H1C.4",9.97940685495415e-50,-0.683411150093513,0.088,0.171,1.99588137099083e-46,"4","HIST1H1C"
"SRGN.3",1.6188741606881e-49,0.123284065195881,0.979,0.975,3.23774832137621e-46,"4","SRGN"
"GPR171.4",6.53602780835e-49,-0.486641882507775,0.207,0.319,1.30720556167e-45,"4","GPR171"
"RIPOR2.4",7.20064340559773e-49,0.701309217841123,0.371,0.31,1.44012868111955e-45,"4","RIPOR2"
"SDCBP.2",7.55510979720507e-49,-0.328787548128935,0.397,0.542,1.51102195944101e-45,"4","SDCBP"
"APOBR.2",8.43705693560611e-48,-0.956945835430447,0.048,0.114,1.68741138712122e-44,"4","APOBR"
"TRGV9.3",3.86542118011493e-46,1.31638797501223,0.125,0.073,7.73084236022986e-43,"4","TRGV9"
"CD38.4",6.36032766676366e-46,-0.630425227081448,0.167,0.259,1.27206553335273e-42,"4","CD38"
"FTL.3",1.149172533761e-45,-0.273936813080768,0.971,0.982,2.29834506752199e-42,"4","FTL"
"ACP5.4",2.86934838147937e-45,-0.54462911840761,0.234,0.344,5.73869676295874e-42,"4","ACP5"
"LMO4.2",3.3187014802403e-45,-0.515080819658906,0.141,0.234,6.63740296048059e-42,"4","LMO4"
"PIK3R1.3",4.78827776001027e-45,0.49854198013617,0.523,0.489,9.57655552002054e-42,"4","PIK3R1"
"GATA3.4",6.09883794045871e-45,-0.404582978267185,0.369,0.497,1.21976758809174e-41,"4","GATA3"
"HSPD1.3",7.76489105152086e-45,-0.338331574091967,0.445,0.58,1.55297821030417e-41,"4","HSPD1"
"FOSB.4",8.99948035369077e-45,-0.630264325508653,0.643,0.715,1.79989607073815e-41,"4","FOSB"
"LCP1.3",1.21062665671796e-44,0.218050130366044,0.871,0.863,2.42125331343592e-41,"4","LCP1"
"NDFIP2.3",1.55935629515168e-44,-0.68345475209756,0.109,0.191,3.11871259030336e-41,"4","NDFIP2"
"MIS18BP1.3",1.9513221863851e-44,-0.418206865852014,0.154,0.252,3.9026443727702e-41,"4","MIS18BP1"
"DDIT4.4",2.50710057380744e-44,-0.434221437953682,0.473,0.59,5.01420114761487e-41,"4","DDIT4"
"ID3.4",2.57774837147469e-44,-0.97971480228186,0.073,0.143,5.15549674294937e-41,"4","ID3"
"ANP32E.3",5.62825507472646e-44,-0.399457885993445,0.228,0.339,1.12565101494529e-40,"4","ANP32E"
"TBC1D4.4",1.58735629761165e-43,-1.43863484446008,0.049,0.109,3.17471259522329e-40,"4","TBC1D4"
"FCMR.4",2.04583126575493e-43,0.323753373237271,0.597,0.568,4.09166253150986e-40,"4","FCMR"
"AL357060.1.1",4.96301767470777e-43,-0.88423111604472,0.05,0.112,9.92603534941555e-40,"4","AL357060.1"
"KLRC3.3",5.62215730271006e-43,-1.07027058523329,0.08,0.148,1.12443146054201e-39,"4","KLRC3"
"CDK4.3",7.22083800546502e-43,-0.407007738087886,0.152,0.248,1.444167601093e-39,"4","CDK4"
"NDUFV2.4",1.39535810229318e-42,-0.335542120217694,0.475,0.605,2.79071620458637e-39,"4","NDUFV2"
"PTPN22.4",1.54349898333816e-42,-0.408622644125046,0.407,0.531,3.08699796667632e-39,"4","PTPN22"
"NME1.3",2.91563891554744e-42,-0.616516693489103,0.077,0.15,5.83127783109487e-39,"4","NME1"
"FAM122C.1",3.54338180434799e-42,-0.965113280614138,0.05,0.111,7.08676360869597e-39,"4","FAM122C"
"SOCS3.2",4.54759327811162e-42,-0.279644434058448,0.302,0.425,9.09518655622325e-39,"4","SOCS3"
"ZEB2.3",5.33965489813996e-42,0.961091521325826,0.189,0.133,1.06793097962799e-38,"4","ZEB2"
"MZB1.3",5.41635111253905e-42,-1.09710912135906,0.043,0.101,1.08327022250781e-38,"4","MZB1"
"IRF1.4",9.37501585200685e-42,0.296888420727878,0.711,0.684,1.87500317040137e-38,"4","IRF1"
"LGALS1.3",1.11367912092438e-41,-0.346565321374377,0.309,0.421,2.22735824184877e-38,"4","LGALS1"
"POU2F2.3",2.43684099399828e-41,-0.557094057831011,0.102,0.179,4.87368198799655e-38,"4","POU2F2"
"DNPH1.4",3.63079198435466e-41,-0.428781590628057,0.262,0.375,7.26158396870933e-38,"4","DNPH1"
"METTL8.4",5.68898649071012e-41,-0.773240083222958,0.059,0.122,1.13779729814202e-37,"4","METTL8"
"HLA-DMB.1",7.17435486167371e-41,1.07622932063738,0.111,0.066,1.43487097233474e-37,"4","HLA-DMB"
"AP3M2.4",1.69662185661195e-40,-0.623246686997638,0.1,0.176,3.3932437132239e-37,"4","AP3M2"
"AHCY.3",1.70632966835378e-40,-0.528532485279904,0.081,0.153,3.41265933670756e-37,"4","AHCY"
"RASGEF1B.3",2.69305968978039e-40,-0.494056564056623,0.158,0.248,5.38611937956077e-37,"4","RASGEF1B"
"ANTXR2.3",2.74997189290457e-40,-0.766346126156018,0.057,0.119,5.49994378580914e-37,"4","ANTXR2"
"TEX30.2",2.75092754346647e-40,-0.632123281451004,0.058,0.121,5.50185508693294e-37,"4","TEX30"
"FAM3C.3",3.10283582617063e-40,-0.573127375223375,0.115,0.195,6.20567165234126e-37,"4","FAM3C"
"ERN1.3",3.96813310746371e-40,-0.424415989440871,0.213,0.314,7.93626621492743e-37,"4","ERN1"
"BTLA.3",4.95005039201191e-40,-0.917223551088951,0.051,0.111,9.90010078402382e-37,"4","BTLA"
"SYTL2.4",7.10099421886229e-40,-0.4478322028801,0.169,0.262,1.42019884377246e-36,"4","SYTL2"
"DCTPP1.3",3.00975427101285e-39,-0.442526905783821,0.108,0.187,6.0195085420257e-36,"4","DCTPP1"
"BAG3.4",4.90530985657915e-39,-0.699037443654957,0.062,0.125,9.81061971315829e-36,"4","BAG3"
"CCND2.2",1.10715544386665e-38,-0.331648658234316,0.302,0.42,2.21431088773329e-35,"4","CCND2"
"AC016831.7.3",1.69269489537609e-38,-0.353389643983388,0.382,0.501,3.38538979075218e-35,"4","AC016831.7"
"STX11.4",7.69402288835423e-38,0.967422110965444,0.184,0.133,1.53880457767085e-34,"4","STX11"
"LGALS9.3",1.0243978014519e-37,-0.494306573147332,0.099,0.174,2.0487956029038e-34,"4","LGALS9"
"GLCCI1.3",4.26189693743776e-37,-0.522424160925025,0.093,0.164,8.52379387487551e-34,"4","GLCCI1"
"CALR.2",5.22045825911243e-37,0.250648470156573,0.769,0.765,1.04409165182249e-33,"4","CALR"
"BCL2L11.4",1.03021430931201e-36,-0.758945495692417,0.064,0.125,2.06042861862402e-33,"4","BCL2L11"
"CKS1B.3",1.135309551427e-36,-0.891048156565867,0.053,0.109,2.27061910285401e-33,"4","CKS1B"
"YBX1.2",1.26330044415587e-36,-0.193929965458329,0.866,0.914,2.52660088831175e-33,"4","YBX1"
"CCR2.4",1.45216396676055e-36,-0.839511074893121,0.055,0.112,2.9043279335211e-33,"4","CCR2"
"PVT1.4",1.63006471461551e-36,-0.638932951024318,0.068,0.13,3.26012942923101e-33,"4","PVT1"
"PRDX3.3",2.04349912830691e-36,-0.279535392973023,0.313,0.434,4.08699825661382e-33,"4","PRDX3"
"MZF1.2",3.79392330751605e-36,-0.668936919059841,0.068,0.129,7.58784661503209e-33,"4","MZF1"
"JUNB.4",6.33163356033482e-36,-0.250690348159326,0.917,0.959,1.26632671206696e-32,"4","JUNB"
"TIMM13.3",6.76676455734927e-36,-0.299448254546959,0.16,0.252,1.35335291146985e-32,"4","TIMM13"
"DUSP10.4",8.01460223403708e-36,-0.531563581111209,0.078,0.143,1.60292044680742e-32,"4","DUSP10"
"MAGEH1.4",8.24080612165071e-36,-1.00475508684415,0.065,0.124,1.64816122433014e-32,"4","MAGEH1"
"CRIP1.2",1.36368036688978e-35,-0.141829477647881,0.862,0.908,2.72736073377955e-32,"4","CRIP1"
"DUT.1",1.38378526032547e-35,-0.356549719406346,0.427,0.555,2.76757052065094e-32,"4","DUT"
"RANBP1.3",1.44538969653935e-35,-0.322299699392981,0.31,0.428,2.89077939307871e-32,"4","RANBP1"
"TP53INP1.4",1.90048309489527e-35,-0.764460877522229,0.058,0.115,3.80096618979054e-32,"4","TP53INP1"
"PDE4B.3",3.14598217599957e-35,-0.313291784557253,0.319,0.435,6.29196435199914e-32,"4","PDE4B"
