,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MT-ND2,1.13112878226736e-234,-0.387776638,0.947,0.952,2.52909084427159e-230,0,MT-ND2
TSEN54,5.92149837400123e-234,0.420930753,0.403,0.313,1.32398782144294e-229,0,TSEN54
DBI,8.54034135196176e-234,0.258593399,0.647,0.55,1.90953492288513e-229,0,DBI
GPR174,7.16934770578575e-233,0.394630204,0.426,0.334,1.60299445353664e-228,0,GPR174
APMAP,6.38291477001826e-231,0.569157139,0.34,0.258,1.42715591342838e-226,0,APMAP
LITAF,1.46301057473675e-230,0.538139031,0.411,0.327,3.27114534405389e-226,0,LITAF
MT-ATP6,1.00224883711697e-229,-0.290940625,0.998,0.997,2.24092817490984e-225,0,MT-ATP6
BCAS4,1.5393718236233e-229,0.501719594,0.252,0.171,3.44188146043934e-225,0,BCAS4
ADA,3.02040504243983e-229,0.620607935,0.278,0.199,6.75332363439122e-225,0,ADA
RPL34,1.9925298469449e-228,-0.167013617,0.998,0.989,4.45509748478411e-224,0,RPL34
MYO1F,1.88125378996399e-226,0.404062291,0.351,0.263,4.20629534898049e-222,0,MYO1F
ARAP2,2.94904023013598e-226,0.467867378,0.353,0.267,6.59375905056105e-222,0,ARAP2
MT-ND3,4.30800350621417e-226,-0.304257204,0.995,0.993,9.63226503954427e-222,0,MT-ND3
CCR5,7.29558219972347e-226,0.70458021,0.185,0.116,1.63121922403617e-221,0,CCR5
TESPA1,4.32860095366917e-222,-0.842257948,0.142,0.223,9.6783188723089e-218,0,TESPA1
ATP5MG,1.48982882011891e-221,0.194031631,0.905,0.846,3.33110825890386e-217,0,ATP5MG
CALCOCO2,6.59102317347908e-219,0.427559274,0.42,0.334,1.47368687135819e-214,0,CALCOCO2
ANXA6,1.43605468668991e-218,0.335193437,0.569,0.482,3.21087467396996e-214,0,ANXA6
SEPT1,1.78624533281337e-218,0.241562911,0.757,0.682,3.99386593963742e-214,0,SEPT1
CD9,4.78441178340069e-218,0.762215324,0.138,0.079,1.06974663065056e-213,0,CD9
RAB1B,1.06092774629095e-217,0.386176349,0.482,0.397,2.37212834793194e-213,0,RAB1B
RNF213,1.1367776082937e-217,0.208318049,0.635,0.545,2.54172105438389e-213,0,RNF213
RPL19,2.47107032359374e-217,-0.135623573,0.998,0.99,5.52506613652324e-213,0,RPL19
WIPF1,2.84978350845137e-216,0.26789298,0.656,0.575,6.37183094654642e-212,0,WIPF1
MSN,5.64452801007942e-216,0.269351687,0.654,0.569,1.26206001777366e-211,0,MSN
S100A4,6.82404342087013e-216,0.157081753,0.879,0.762,1.52578786847235e-211,0,S100A4
ARL4C,1.48256327592423e-215,0.374533368,0.507,0.421,3.31486322863898e-211,0,ARL4C
RABAC1,3.27915923995031e-215,0.367741309,0.522,0.439,7.33187214460489e-211,0,RABAC1
SNX9,5.85579114501929e-215,-1.026571441,0.093,0.164,1.30929634211486e-210,0,SNX9
SPNS3,8.93683563740688e-215,0.698882997,0.18,0.114,1.9981870801678e-210,0,SPNS3
BTN3A2,9.35232525167907e-215,0.403540597,0.418,0.332,2.09108640302292e-210,0,BTN3A2
PTPN22,2.12868502578476e-213,0.275350796,0.495,0.4,4.75952684915214e-209,0,PTPN22
LGALS1,1.86877152609774e-212,0.401011716,0.415,0.323,4.17838625520193e-208,0,LGALS1
TNFRSF1A,1.55753543131448e-211,0.473700428,0.323,0.241,3.48249347087604e-207,0,TNFRSF1A
RGL4,2.20159521498996e-211,0.420255594,0.424,0.339,4.92254674119606e-207,0,RGL4
MAF,3.39274625008469e-211,-1.079289716,0.09,0.16,7.58584134056436e-207,0,MAF
B3GNT2,3.9558322278822e-211,0.6076913,0.263,0.188,8.8448452783218e-207,0,B3GNT2
TMEM173,9.43749082108744e-211,-0.734624411,0.174,0.257,2.11012857268694e-206,0,TMEM173
GIMAP7,1.33638778389091e-210,0.249587832,0.735,0.646,2.98802944600169e-206,0,GIMAP7
IRF1,1.37538723151431e-210,0.295017179,0.64,0.55,3.07522831094285e-206,0,IRF1
TWF2,1.59610611537123e-209,0.38630651,0.459,0.375,3.56873366335853e-205,0,TWF2
TRGV7,7.51097070688778e-209,0.863367606,0.115,0.063,1.67937794035304e-204,0,TRGV7
RPL5,2.49035157318831e-206,-0.185065416,0.983,0.961,5.56817708249173e-202,0,RPL5
PDLIM2,4.52372745346214e-204,0.447745858,0.385,0.304,1.0114602213196e-199,0,PDLIM2
CASP4,9.42969012499898e-204,0.383418891,0.465,0.387,2.10838441504852e-199,0,CASP4
SH3BP1,5.32742728140518e-203,0.427224602,0.395,0.314,1.19115946584938e-198,0,SH3BP1
ADGRE5,1.65752454914283e-202,0.333936391,0.497,0.411,3.70605913942846e-198,0,ADGRE5
ID2,2.70814391301429e-202,0.28556362,0.575,0.477,6.05513897510866e-198,0,ID2
CD28,3.59633006239945e-200,-0.698065376,0.2,0.282,8.04103438651893e-196,0,CD28
RPL13,6.58996634982585e-200,-0.127722392,0.998,0.992,1.47345057615756e-195,0,RPL13
MALAT1,9.40816241634958e-200,-0.287753574,0.997,0.986,2.1035710346716e-195,0,MALAT1
RPL18,9.45553218273616e-199,-0.139479977,0.994,0.98,2.11416244073798e-194,0,RPL18
RBCK1,1.015780688969e-198,0.385791387,0.423,0.342,2.27118404246578e-194,0,RBCK1
GNG2,2.18240389841648e-198,0.303944124,0.551,0.467,4.87963687646941e-194,0,GNG2
IKZF3,6.33437418009464e-197,0.224146918,0.469,0.372,1.41630272292736e-192,0,IKZF3
OAZ1,3.9563429126333e-194,0.150470106,0.934,0.876,8.84598711835679e-190,0,OAZ1
MCOLN2,2.99050085275042e-191,0.829018249,0.135,0.08,6.68646085666467e-187,0,MCOLN2
UBB,2.33686794192804e-189,0.185630515,0.844,0.773,5.2250030313569e-185,0,UBB
TRGV2,4.11783311268263e-189,0.445479189,0.153,0.093,9.2070630566471e-185,0,TRGV2
GBP1,4.29477583171227e-189,0.44348039,0.347,0.267,9.60268928212548e-185,0,GBP1
PTMA,7.69046096193519e-188,-0.182151756,0.994,0.979,1.71951016647909e-183,0,PTMA
PTP4A2,9.62826374168266e-188,0.355792189,0.482,0.402,2.15278349000283e-183,0,PTP4A2
CD27,2.27906699237325e-187,0.391491538,0.489,0.416,5.09576588824734e-183,0,CD27
TRGV10,2.66621105193115e-187,0.794765991,0.173,0.112,5.96138129101286e-183,0,TRGV10
RPL10A,1.8586786894802e-185,-0.166789744,0.958,0.935,4.15581968180879e-181,0,RPL10A
ITGB7,1.11977137476846e-184,0.318128679,0.455,0.372,2.50369681684481e-180,0,ITGB7
CD53,2.48743852618434e-184,0.230423646,0.684,0.605,5.56166380069557e-180,0,CD53
CLDND1,2.11728283250923e-183,0.383588552,0.536,0.463,4.73403268520738e-179,0,CLDND1
OSTF1,5.59362468460917e-183,0.25134887,0.658,0.577,1.25067854323176e-178,0,OSTF1
CD101,5.91371057497226e-183,0.730231944,0.14,0.085,1.32224654745805e-178,0,CD101
PILRB,1.6376282859612e-182,0.613130589,0.139,0.085,3.66157308458066e-178,0,PILRB
RHOF,4.50539965139887e-182,0.307505568,0.551,0.476,1.00736230805627e-177,0,RHOF
MYL6,1.96559203372794e-181,0.140218184,0.969,0.926,4.3948672282123e-177,0,MYL6
TAPBP,4.99791182416846e-180,0.237381419,0.651,0.576,1.11748310476583e-175,0,TAPBP
KIAA1551,5.4289666434892e-180,0.256767717,0.602,0.526,1.21386265181775e-175,0,KIAA1551
RPL4,3.21581425743262e-179,-0.179264456,0.927,0.907,7.19023909819359e-175,0,RPL4
YWHAB,1.66795688580073e-178,0.179515756,0.835,0.76,3.72938480096185e-174,0,YWHAB
ZFP36L1,9.15389460854243e-177,-0.368356187,0.737,0.762,2.046719295524e-172,0,ZFP36L1
TRAPPC1,2.68681844222387e-176,0.232757329,0.681,0.605,6.00745735496835e-172,0,TRAPPC1
UBL5,2.94822989303465e-176,0.19429688,0.809,0.734,6.59194721783618e-172,0,UBL5
BIN2,4.61048841245747e-176,0.344524119,0.462,0.385,1.03085910414136e-171,0,BIN2
SELPLG,3.66722139097863e-175,0.320664505,0.516,0.441,8.19954030808912e-171,0,SELPLG
RPL29,8.4916642415914e-175,-0.124959156,0.995,0.982,1.89865120777742e-170,0,RPL29
MED15,3.36568681398288e-174,0.503265584,0.268,0.199,7.52533914738432e-170,0,MED15
AGTRAP,6.21288855084331e-174,0.574949927,0.231,0.164,1.38913975108305e-169,0,AGTRAP
MIR4435-2HG,2.68771428244324e-173,0.269680779,0.328,0.246,6.00946036411484e-169,0,MIR4435-2HG
S100A10,5.55860197084086e-173,0.171068268,0.778,0.697,1.24284781466031e-168,0,S100A10
TRIR,4.47115878946065e-172,0.221029475,0.743,0.677,9.99706393735506e-168,0,TRIR
AKTIP,1.28785468754181e-171,0.581310848,0.22,0.156,2.87951429587474e-167,0,AKTIP
RPS27A,1.67314595271393e-171,-0.124005881,0.998,0.99,3.74098703567308e-167,0,RPS27A
DUSP4,5.30975190150091e-171,0.348586577,0.274,0.198,1.18720742765659e-166,0,DUSP4
YWHAZ,8.21754736598628e-171,0.181172349,0.851,0.784,1.83736141556087e-166,0,YWHAZ
UBASH3B,1.44243572001727e-170,-1.11554663,0.081,0.139,3.22514202638661e-166,0,UBASH3B
