"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNRPF.3",2.24095705310599e-08,-0.480483633424382,0.461,0.496,4.48191410621199e-05,"9","SNRPF"
"NORAD.6",2.69411348338622e-08,0.289458621858633,0.347,0.238,5.38822696677244e-05,"9","NORAD"
"RHOC.7",3.04255404729966e-08,-0.259079665603272,0.308,0.39,6.08510809459932e-05,"9","RHOC"
"H2AFJ.7",3.23068942193676e-08,0.517890884749174,0.416,0.31,6.46137884387352e-05,"9","H2AFJ"
"HIST1H2BK.4",3.48410846138088e-08,0.344647911925703,0.16,0.095,6.96821692276177e-05,"9","HIST1H2BK"
"TIPARP.6",4.42552398217476e-08,-0.925370279583472,0.189,0.26,8.85104796434953e-05,"9","TIPARP"
"SIAH2.4",5.04860057831122e-08,-0.631646217512473,0.263,0.335,0.000100972011566224,"9","SIAH2"
"XBP1.6",8.19622179937634e-08,0.763205146607126,0.6,0.501,0.000163924435987527,"9","XBP1"
"PPA1.5",8.28528090682947e-08,-0.148693803565854,0.473,0.54,0.000165705618136589,"9","PPA1"
"PPIF.5",9.93976282598282e-08,0.343019864412933,0.252,0.167,0.000198795256519656,"9","PPIF"
"TMPO.6",1.06450690748208e-07,-0.861826811436855,0.26,0.316,0.000212901381496417,"9","TMPO"
"LDLR.2",1.06702946686828e-07,0.803576175665823,0.123,0.072,0.000213405893373655,"9","LDLR"
"OASL.9",1.19711216494655e-07,-1.36133817160861,0.075,0.138,0.000239422432989311,"9","OASL"
"NCR3.8",1.21772057431261e-07,-1.45700997175928,0.042,0.1,0.000243544114862522,"9","NCR3"
"MAP1LC3A.5",1.56373414198173e-07,0.743086288675932,0.184,0.119,0.000312746828396345,"9","MAP1LC3A"
"SOCS3.6",1.5787371183553e-07,-0.431925283089736,0.346,0.417,0.00031574742367106,"9","SOCS3"
"LMNB1.9",1.61010327663162e-07,-1.13505798245065,0.108,0.172,0.000322020655326323,"9","LMNB1"
"ANKRD28.8",1.7224785388446e-07,-1.27572712915554,0.139,0.2,0.000344495707768919,"9","ANKRD28"
"TNFRSF25.7",1.8652964541195e-07,-0.29766116186798,0.166,0.253,0.000373059290823899,"9","TNFRSF25"
"MZT1.5",2.16395193949252e-07,-0.992003010130809,0.199,0.258,0.000432790387898505,"9","MZT1"
"SMC3.5",2.18983432119444e-07,-0.790322017427979,0.288,0.338,0.000437966864238888,"9","SMC3"
"ARL6IP1.8",2.29141059993089e-07,0.311635238273212,0.639,0.538,0.000458282119986178,"9","ARL6IP1"
"ATAD2.5",2.44654320352268e-07,-1.44512490335533,0.067,0.128,0.000489308640704535,"9","ATAD2"
