"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CHD4.5",9.95882032578284e-27,0.338240820913772,0.232,0.175,3.03654390553445e-22,"13","CHD4"
"PPP2R5C.7",1.03054236207139e-26,0.255837382384818,0.503,0.432,3.14222671619188e-22,"13","PPP2R5C"
"SIRT7.7",1.05575298030424e-26,0.375185466224379,0.209,0.155,3.21909641224565e-22,"13","SIRT7"
"SAYSD1.2",1.08194689197113e-26,0.564401678877486,0.107,0.069,3.29896426830919e-22,"13","SAYSD1"
"RPSA.11",1.11480793601922e-26,-0.170513778601331,0.913,0.882,3.3991608777162e-22,"13","RPSA"
"AAK1.12",1.18789074142007e-26,-0.48636196198321,0.276,0.341,3.62199765966394e-22,"13","AAK1"
"TFDP2.1",1.21339042619777e-26,0.63326731790724,0.111,0.073,3.69974874851962e-22,"13","TFDP2"
"CFAP36.10",1.25434310254091e-26,0.552180824212601,0.155,0.109,3.82461755395748e-22,"13","CFAP36"
"HMG20B.6",1.26990264786465e-26,0.405900049857767,0.181,0.131,3.8720601636041e-22,"13","HMG20B"
"NAA10.10",1.28672986178653e-26,0.373438573791366,0.278,0.22,3.92336802157332e-22,"13","NAA10"
"CPSF6.9",1.40028717087289e-26,0.396311547787989,0.227,0.171,4.26961561270854e-22,"13","CPSF6"
"ATP6V0D1.10",1.40769359458428e-26,0.359160955530173,0.246,0.188,4.29219853924693e-22,"13","ATP6V0D1"
"LEPROT.12",1.46963144115776e-26,0.514902653810181,0.142,0.098,4.48105322723411e-22,"13","LEPROT"
"CCND2.11",1.74912100929745e-26,-0.43869248091673,0.206,0.273,5.33324486944886e-22,"13","CCND2"
"BTN3A2.7",1.75639989091651e-26,-0.593713223317357,0.222,0.281,5.35543890739354e-22,"13","BTN3A2"
"ETS1.10",2.15829194980519e-26,0.23557733173576,0.488,0.415,6.580847984151e-22,"13","ETS1"
"RANGAP1.1",2.22838900126082e-26,0.601841051174663,0.114,0.075,6.79458090374436e-22,"13","RANGAP1"
"BEX4.9",2.25512506041682e-26,0.458959490161443,0.143,0.098,6.87610182171694e-22,"13","BEX4"
"SRSF10.7",2.36484405074001e-26,0.229910769687239,0.425,0.352,7.21064599511137e-22,"13","SRSF10"
"MOB4.10",2.41982448244408e-26,0.349490891162062,0.26,0.202,7.37828682942023e-22,"13","MOB4"
"NDUFS6.8",2.64153137454001e-26,0.237152979043788,0.389,0.32,8.05429331410996e-22,"13","NDUFS6"
"SINHCAF.2",3.09373963549008e-26,0.585937132487553,0.137,0.095,9.43312152257282e-22,"13","SINHCAF"
"EIF3K.4",3.2271935099074e-26,0.141103763024745,0.788,0.717,9.84003573105865e-22,"13","EIF3K"
"UBE2D3.6",3.54833153814893e-26,0.167335847560081,0.703,0.622,1.08192176929699e-21,"13","UBE2D3"
"DMAC1.9",3.59134720142202e-26,0.48588821910292,0.146,0.102,1.09503767518559e-21,"13","DMAC1"
"OFD1.3",3.75462530966127e-26,0.339419088347748,0.274,0.213,1.14482280316882e-21,"13","OFD1"
"GPBP1.9",3.96373704301071e-26,0.229803975312819,0.405,0.334,1.2085830617844e-21,"13","GPBP1"
"GOLPH3.8",4.4175170027293e-26,0.398457508650721,0.256,0.199,1.34694510930219e-21,"13","GOLPH3"
"EDEM1",4.64546695336915e-26,0.501445204586017,0.108,0.07,1.41644932875179e-21,"13","EDEM1"
"TACC3.11",4.85983299054641e-26,0.369999155058312,0.187,0.136,1.48181167714751e-21,"13","TACC3"
"EXOSC1.5",5.28271604133133e-26,0.397446480233665,0.214,0.161,1.61075294816234e-21,"13","EXOSC1"
"MT-ND4.10",5.78402555859487e-26,-0.352242985672024,0.814,0.817,1.76360723307116e-21,"13","MT-ND4"
"OCIAD1.6",6.05955832882913e-26,0.246190093372601,0.386,0.318,1.84761993004329e-21,"13","OCIAD1"
"NKTR.5",6.3601334833017e-26,0.262357249685742,0.33,0.264,1.93926830039352e-21,"13","NKTR"
"DAZAP2.5",6.49215041937309e-26,0.181192560298356,0.702,0.622,1.97952158437105e-21,"13","DAZAP2"
"ELK4.1",6.6634131405024e-26,0.434959002368685,0.118,0.078,2.03174130067059e-21,"13","ELK4"
"REL.11",6.94184024527211e-26,0.371041312242915,0.439,0.373,2.11663650918592e-21,"13","REL"
"CBFB.8",7.05541440456789e-26,0.48195276021058,0.148,0.104,2.1512664060968e-21,"13","CBFB"
"AKAP11.2",8.229054138903e-26,0.541601967213762,0.129,0.087,2.50912089749291e-21,"13","AKAP11"
"SRSF9.9",8.29656666038488e-26,0.273620042255913,0.378,0.311,2.52970614041795e-21,"13","SRSF9"
"DDOST.7",8.81713369406821e-26,0.282643577182389,0.388,0.322,2.68843223465834e-21,"13","DDOST"
"RBBP4.8",9.22590208932261e-26,0.297989985763956,0.34,0.275,2.81306980605536e-21,"13","RBBP4"
"HACD4.12",9.45791417610617e-26,-0.750389026641827,0.121,0.176,2.88381261143653e-21,"13","HACD4"
"CAND1.7",9.88963646372553e-26,0.331151963300137,0.219,0.164,3.01544905415455e-21,"13","CAND1"
"KAT6A.5",1.01652443742321e-25,0.404916647853069,0.176,0.128,3.09948466214712e-21,"13","KAT6A"
"SYTL1.10",1.06619644804987e-25,-0.677343367941322,0.155,0.212,3.25093958974886e-21,"13","SYTL1"
"AHR.12",1.13205879052094e-25,0.335934761822452,0.195,0.143,3.45176045817739e-21,"13","AHR"
"PDE4B.10",1.1745828283491e-25,-0.531805598396414,0.2,0.263,3.58142050191924e-21,"13","PDE4B"
"ZBTB1.9",1.26284009538351e-25,0.299060245055642,0.217,0.162,3.85052573483387e-21,"13","ZBTB1"
"DCAF8.6",1.27131255957067e-25,0.449098816732296,0.172,0.123,3.87635912538693e-21,"13","DCAF8"
"EED.6",1.30344919409084e-25,0.481551952445516,0.141,0.097,3.97434693770239e-21,"13","EED"
"UBE2L6.10",1.35076091346872e-25,-0.461801627618558,0.326,0.382,4.11860510125748e-21,"13","UBE2L6"
"COA6.6",1.59850439505516e-25,0.422286943467393,0.191,0.141,4.8739997509627e-21,"13","COA6"
